soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_34_1405604076305_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_34_1405604076305, 3, 2, 6.71, 1.94, 0.45, 1.55, 0.647
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964, 1, 0, 4.98, 0.75, 0.20, 1.33, 0.754
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964, 1, 0, 5.04, 0.77, 0.20, 1.30, 0.769
anonymouskartulispeechrecognition1405629617813-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529, 2, 0, 9.84, 0.59, 0.20, 3.38, 0.296
anonymouskartulispeechrecognition1405629617813-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529, 2, 0, 9.90, 0.58, 0.20, 3.47, 0.288
anonymouskartulispeechrecognition1405662073274-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450, 10, 1, 8.94, 2.08, 1.12, 4.81, 0.208
anonymouskartulispeechrecognition1405662073274-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450, 11, 1, 9.01, 2.10, 1.22, 5.25, 0.191
anonymouskartulispeechrecognition1405722936547-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932, 9, 2, 6.90, 2.91, 1.30, 3.09, 0.324
anonymouskartulispeechrecognition1405722936547-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932, 8, 2, 6.97, 3.19, 1.15, 2.51, 0.399
anonymouskartulispeechrecognition1405759711246-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555, 13, 2, 14.40, 2.67, 0.90, 4.87, 0.206
anonymouskartulispeechrecognition1405759711246-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555, 13, 2, 14.47, 2.72, 0.90, 4.77, 0.210
